						Joint element tag	Match?	JH	Peace
	15	더	_	_	O	O	1		
	16	많이	_	_	O	O	1		
	17	지출한다	_	_	O	O	1		
	18	--	_	_	O	O	1		
	19	교육	_	_	O	O	1		
	20	성과는	_	_	O	O	1		
	21	감소하였다는	_	_	O	O	1		
	22	사실에는	_	_	O	O	1		
	23	어떤	_	_	O	O	1		
	24	불가사이도	_	_	O	O	1		
	25	역설도	_	_	O	O	1		
	26	없다.	_	_	O	O	1		
									
									
									
									
									
									
									
									
									
									
									
									
									
									
34	#anno-id:650								
	#text:그들은 교육적인 경험보다는 모호한 심리학적 그리고 사회학적 이론들에 바탕을 두고 있다.								
	0	그들은	_	_	O	B-Protagonist	0	B-Focal_participant	B-Protagonist
	1	교육적인	_	_	B-Knowledge	B-Knowledge	0		
	2	경험보다는	경험.n	Expertise	O	O	1		
	3	모호한	_	_	O	O	1		
	4	심리학적	_	_	O	O	1		
	5	그리고	_	_	O	O	1		
	6	사회학적	_	_	O	O	1		
	7	이론들에	_	_	O	O	1		
	8	바탕을	_	_	O	O	1		
	9	두고	_	_	O	O	1		
	10	있다.	_	_	O	O	1		
									
35	#anno-id:654								
	#text:무엇보다 가장 중요한 것은 학교는 교직원, 교과과정, 그리고 모든 학생 규율과 관련된 문제들에 대해 상당한 양의 권위를 갖는 교장이 가져야 한다.								
	0	무엇보다	_	_	O	O	1		
	1	가장	_	_	O	O	1		
	2	중요한	_	_	O	O	1		
	3	것은	_	_	O	O	1		
	4	학교는	_	_	B-Owner	B-Possession	0		B-Possession
	5	교직원,	_	_	B-Possession	B-Depictive	0		B-Depictive
	6	교과과정,	_	_	I-Possession	B-Depictive	0		B-Depictive
	7	그리고	_	_	I-Possession	B-Depictive	0		B-Depictive
	8	모든	_	_	I-Possession	B-Depictive	0		B-Depictive
	9	학생	_	_	I-Possession	B-Depictive	0		B-Depictive
	10	규율과	_	_	I-Possession	B-Depictive	0		B-Depictive
	11	관련된	_	_	I-Possession	B-Depictive	0		B-Depictive
	12	문제들에	_	_	I-Possession	B-Depictive	0		B-Depictive
	13	대해	_	_	I-Possession	B-Depictive	0		B-Depictive
	14	상당한	_	_	I-Possession	B-Depictive	0	B-Possession	B-Depictive
	15	양의	_	_	I-Possession	B-Depictive	0	I-Posession	B-Depictive
	16	권위를	_	_	I-Possession	B-Depictive	0	I-Posession	B-Depictive
	17	갖는	_	_	I-Possession	B-Depictive	0		B-Depictive
	18	교장이	_	_	I-Possession	B-Owner	1	B-Owner	B-Owner
	19	가져야	가지다.v	Possession	O	O	1		
	20	한다.	_	_	O	O	1		
									
36	#anno-id:666								
	#text:1948년 이전 단 한 번의 대통령 선거 해에서만 20 % 이상 많은 국가의 하원의원 선거구가 미국 하원의원보다는 백악관과는 다른 당의 후보를 선택하였다.								
	0	1948년	_	_	B-Relative_time	B-Relative_time	1	B-Relative_time	
	1	이전	_	_	I-Relative_time	I-Relative_time	1	I-Relative_time	
	2	단	_	_	O	O	1		
	3	한	_	_	O	O	1		
	4	번의	_	_	O	O	1		
	5	대통령	_	_	B-Salient_event	B-Salient_event	1	B-Salient_event	
	6	선거	_	_	I-Salient_event	I-Salient_event	1	I-Salient_event	
	7	해에서만	해.n	Calendric_unit	O	B-Unit	0		B-Unit
	8	20	_	_	O	O	1		
	9	%	_	_	O	O	1		
	10	이상	_	_	O	O	1		
	11	많은	_	_	O	O	1		
	12	국가의	_	_	O	O	1		
	13	하원의원	_	_	O	O	1		
	14	선거구가	_	_	O	O	1		
	15	미국	_	_	O	O	1		
	16	하원의원보다는	_	_	O	O	1		
	17	백악관과는	_	_	O	O	1		
	18	다른	_	_	O	O	1		
	19	당의	_	_	O	O	1		
	20	후보를	_	_	O	O	1		
	21	선택하였다.	_	_	O	O	1		
									
37	#anno-id:670								
	#text:1948년 이전 단 한 번의 대통령 선거 해에서만 20 % 이상 많은 국가의 하원의원 선거구가 미국 하원의원보다는 백악관과는 다른 당의 후보를 선택하였다.								
	0	1948년	_	_	O	B-Time	0		B-Time?
	1	이전	_	_	O	I-Time	0		I-Time?
	2	단	_	_	O	O	1		
	3	한	_	_	O	O	1		
	4	번의	_	_	O	O	1		
	5	대통령	_	_	O	O	1		
	6	선거	_	_	O	O	1		
	7	해에서만	_	_	O	O	1		
	8	20	_	_	B-Cognizer	B-Cognizer	1	B-Cognizer	
	9	%	_	_	I-Cognizer	I-Cognizer	1	I-Cognizer	
	10	이상	_	_	I-Cognizer	I-Cognizer	1	I-Cognizer	
	11	많은	_	_	I-Cognizer	I-Cognizer	1	I-Cognizer	
	12	국가의	_	_	I-Cognizer	I-Cognizer	1	I-Cognizer	
	13	하원의원	_	_	I-Cognizer	I-Cognizer	1	I-Cognizer	
	14	선거구가	_	_	I-Cognizer	I-Cognizer	1	I-Cognizer	
	15	미국	_	_	O	B-Contrast	0	B-Chosen	B-Contrast
	16	하원의원보다는	_	_	O	I-Contrast	0	I-Chosen	I-Contrast
	17	백악관과는	_	_	B-Inherent_purpose	B-Explanation	0	I-Chosen	B-Explanation
	18	다른	_	_	B-Chosen	I-Explanation	0	I-Chosen	I-Explanation
	19	당의	_	_	I-Chosen	I-Chosen	0	I-Chosen	B-Chosen
	20	후보를	_	_	I-Chosen	I-Chosen	0	I-Chosen	
	21	선택하였다.	선택하다.v	Choosing	O	O	1		
									
38	#anno-id:680								
	#text:지난 반 세기에 걸친 모든 대통령 선거에서, 대통령 후보 Goldwater를 제외하고, 공화당은 의회 의석이나 국회의원에 대한 일반 투표에서 보다 대통령에 대한 다수당의 일반 투표에서 더 많은 비율의 표를 얻었다.								
	0	지난	_	_	B-Relative_time	B-Relative_time	1	B-Relative_time	
	1	반	_	_	B-Count	B-Count	1	B-Count	
	2	세기에	세기.n	Calendric_unit	O	B-Unit	0		B-Unit
	3	걸친	_	_	O	O	1		
	4	모든	_	_	O	O	1		
	5	대통령	_	_	O	O	1		
	6	선거에서,	_	_	O	O	1		
	7	대통령	_	_	O	O	1		
	8	후보	_	_	O	O	1		
	9	Goldwater를	_	_	O	O	1		
	10	제외하고,	_	_	O	O	1		
	11	공화당은	_	_	O	O	1		
	12	의회	_	_	O	O	1		
	13	의석이나	_	_	O	O	1		
	14	국회의원에	_	_	O	O	1		
	15	대한	_	_	O	O	1		
	16	일반	_	_	O	O	1		
	17	투표에서	_	_	O	O	1		
	18	보다	_	_	O	O	1		
	19	대통령에	_	_	O	O	1		
	20	대한	_	_	O	O	1		
	21	다수당의	_	_	O	O	1		
	22	일반	_	_	O	O	1		
	23	투표에서	_	_	O	O	1		
	24	더	_	_	O	O	1		
	25	많은	_	_	O	O	1		
	26	비율의	_	_	O	O	1		
	27	표를	_	_	O	O	1		
	28	얻었다.	_	_	O	O	1		
									
39	#anno-id:683								
	#text:최근 수십년간의 결과는 무엇을 설명하는가 ?								
	0	최근	_	_	B-Cause	B-Time	0	B-Time	
	1	수십년간의	_	_	I-Cause	I-Time	0	I-Time	
	2	결과는	결과.n	Causation	O	O	0		X- wrong frame?
	3	무엇을	_	_	O	O	0		
	4	설명하는가	_	_	O	O	0		
	5	?	_	_	O	O	0		
									
40	#anno-id:684								
	#text:단순한 경제이론이 투표소에서 미국인이 나타내는 이중 인격에 대한 최소한 부분적인 설명을 해준다.								
	0	단순한	_	_	O	O	1		
	1	경제이론이	_	_	O	O	1		
	2	투표소에서	_	_	B-Topic	O	0		
	3	미국인이	_	_	I-Topic	B-Topic	0	B-Topic	
	4	나타내는	_	_	I-Topic	I-Topic	1	I-Topic	
	5	이중	_	_	I-Topic	I-Topic	1	I-Topic	
	6	인격에	_	_	I-Topic	I-Topic	1	I-Topic	
	7	대한	_	_	I-Topic	I-Topic	1	I-Topic	
	8	최소한	_	_	O	B-Message	0	B-Message	
	9	부분적인	_	_	O	I-Message	0	I-Message	
	10	설명을	설명.n	Statement	O	I-Message	0	I-Message	
	11	해준다.	_	_	O	O			
									
41	#anno-id:695								
	#text:3 ) 그들의 최소주의 국가 신봉 때문에, 공화당 의회 대표들은 의회의 민주당 출신 의원들보다 지역의 이익을 추구하는데 덜 개입하려고 한다.								
	0	3	_	_	O	O	1		
	1	)	_	_	O	O	1		
	2	그들의	_	_	B-Cognizer	B-Cognizer	1	B-Cognizer	
	3	최소주의	_	_	B-Topic	B-Topic	1	B-Topic	
	4	국가	_	_	I-Topic	I-Topic	1	I-Topic	
	5	신봉	신봉.n	Opinion	O	O	1		
	6	때문에,	_	_	O	O	1		
	7	공화당	_	_	O	O	1		
	8	의회	_	_	O	O	1		
	9	대표들은	_	_	O	O	1		
	10	의회의	_	_	O	O	1		
	11	민주당	_	_	O	O	1		
	12	출신	_	_	O	O	1		
	13	의원들보다	_	_	O	O	1		
	14	지역의	_	_	O	O	1		
	15	이익을	_	_	O	O	1		
	16	추구하는데	_	_	O	O	1		
	17	덜	_	_	O	O	1		
	18	개입하려고	_	_	O	O	1		
	19	한다.	_	_	O	O	1		
									
42	#anno-id:701								
	#text:3 ) 그들의 최소주의 국가 신봉 때문에, 공화당 의회 대표들은 의회의 민주당 출신 의원들보다 지역의 이익을 추구하는데 덜 개입하려고 한다.								
	0	3	_	_	O	O	1		
	1	)	_	_	O	O	1		
	2	그들의	_	_	O	O	1		
	3	최소주의	_	_	O	O	1		
	4	국가	_	_	O	O	1		
	5	신봉	_	_	O	O	1		
	6	때문에,	_	_	O	O	1		
	7	공화당	_	_	O	O	1		
	8	의회	_	_	O	O	1		
	9	대표들은	_	_	O	O	1		
	10	의회의	_	_	B-Group	B-Group	1	B-Group	
	11	민주당	_	_	O	B-Member	1	B-Member	B-Member
	12	출신	_	_	O	I-Member	1	I-Member	I-Member
	13	의원들보다	의원.n	Membership	O	I-Member	1	I-Member	I-Member
	14	지역의	_	_	O	O	1		
	15	이익을	_	_	O	O	1		
	16	추구하는데	_	_	O	O	1		
	17	덜	_	_	O	O	1		
	18	개입하려고	_	_	O	O	1		
	19	한다.	_	_	O	O	1		
									
43	#anno-id:702								
	#text:이러한 가정을 견지할 경우, 의회 경선 투표자들은 소위 경제이론에서 죄수의 딜레마라 불리는 것에 직면하게 되고 한계적으로, 민주당에 기대게 하는 유인책을 갖게 된다.								
	0	이러한	_	_	B-Circumstances	B-Circumstances	1	B-Circumstances	
	1	가정을	_	_	I-Circumstances	I-Circumstances	1	I-Circumstances	
	2	견지할	_	_	I-Circumstances	I-Circumstances	1	I-Circumstances	
	3	경우,	_	_	I-Circumstances	I-Circumstances	1	I-Circumstances	
	4	의회	_	_	B-Topical_entity	B-Topical_entity	1	B-Topical_entity	
	5	경선	_	_	I-Topical_entity	I-Topical_entity	1	I-Topical_entity	
	6	투표자들은	_	_	I-Topical_entity	I-Topical_entity	1	I-Topical_entity	
	7	소위	_	_	O	O	1		
	8	경제이론에서	_	_	O	O	1		
	9	죄수의	_	_	O	O	1		
	10	딜레마라	_	_	O	O	1		
	11	불리는	_	_	O	O	1		
	12	것에	_	_	O	O	1		
	13	직면하게	_	_	O	O	1		
	14	되고	_	_	O	O	1		
	15	한계적으로,	_	_	B-Entity	O	1		O
	16	민주당에	_	_	I-Entity	B-entity	0	I-Entity	B-Entity
	17	기대게	_	_	I-Entity	I-Entity	1	I-Entity	
	18	하는	_	_	I-Entity	I-Entity	1	I-Entity	
	19	유인책을	_	_	I-Entity	I-Entity	1	I-Entity	
	20	갖게	가지다.v	Have_associated	O	O	1		
	21	된다.	_	_	O	O	1		
									
44	#anno-id:720								
	#text:셋째, 이 이론은 지역의 혜택 추구에 비해 국가정책 결정에 너무 많은 관심을 기울이는 입법자들이 재임에 덜 안전한가에 대한 이유를 제시해 준다.								
	0	셋째,	_	_	O	O	1		
	1	이	_	_	O	O	1		
	2	이론은	_	_	O	O	1		
	3	지역의	_	_	B-Descriptor	B-Descriptor	1	B-Descriptor	
	4	혜택	_	_	I-Descriptor	I-Descriptor	1	I-Descriptor	
	5	추구에	_	_	I-Descriptor	I-Descriptor	1	I-Descriptor	
	6	비해	_	_	I-Descriptor	I-Descriptor	1	I-Descriptor	
	7	국가정책	_	_	I-Descriptor	I-Descriptor	1	I-Descriptor	
	8	결정에	_	_	I-Descriptor	I-Descriptor	1	I-Descriptor	
	9	너무	_	_	I-Descriptor	I-Descriptor	1	I-Descriptor	
	10	많은	_	_	I-Descriptor	I-Descriptor	1	I-Descriptor	
	11	관심을	_	_	I-Descriptor	I-Descriptor	1	I-Descriptor	
	12	기울이는	_	_	I-Descriptor	I-Descriptor	1	I-Descriptor	
	13	입법자들이	입법자들.n	Leadership	O	B-Leader	0	B-Leader	B-Role
	14	재임에	_	_	O	O	1		
	15	덜	_	_	O	O	1		
	16	안전한가에	_	_	O	O	1		
	17	대한	_	_	O	O	1		
	18	이유를	_	_	O	O	1		
	19	제시해	_	_	O	O	1		
	20	준다.	_	_	O	O	1		
									
45	#anno-id:725								
	#text:예를 들면, 한때 가장 취약한 재임자인 하원의 첫번째 재임 기간의 멤버들은 영향을 받지 않게 되었다.								
	0	예를	_	_	O	O	1		
	1	들면,	_	_	O	O	1		
	2	한때	_	_	O	O	1		
	3	가장	_	_	O	O	1		
	4	취약한	_	_	O	O	1		
	5	재임자인	_	_	O	O	1		
	6	하원의	_	_	B-Group	B-Group	1	B-Group	
	7	첫번째	_	_	B-Standing	B-Standing	0	B-Member	
	8	재임	_	_	I-Standing	I-Standing	1	I-Member	
	9	기간의	_	_	I-Standing	I-Standing	1	I-Member	B-Member
	10	멤버들은	멤버.n	Membership	O	B-Member	1		
	11	영향을	_	_	O	O	1		
	12	받지	_	_	O	O	1		
	13	않게	_	_	O	O	1		
	14	되었다.	_	_	O	O	1		
									
46	#anno-id:726								
	#text:예를 들면, 한때 가장 취약한 재임자인 하원의 첫번째 재임 기간의 멤버들은 영향을 받지 않게 되었다.								
	0	예를	_	_	O	O	1		
	1	들면,	_	_	O	O	1		
	2	한때	_	_	B-Entity	B-Entity	1	B-Entity	
	3	가장	_	_	I-Entity	I-Entity	1	I-Entity	
	4	취약한	_	_	I-Entity	I-Entity	1	I-Entity	
	5	재임자인	_	_	I-Entity	I-Entity	1	I-Entity	
	6	하원의	_	_	I-Entity	I-Entity	1	I-Entity	
	7	첫번째	_	_	I-Entity	I-Entity	1	I-Entity	
	8	재임	_	_	I-Entity	I-Entity	1	I-Entity	
	9	기간의	_	_	I-Entity	I-Entity	1	I-Entity	
	10	멤버들은	_	_	I-Entity	I-Entity	1	I-Entity	
	11	영향을	_	_	B-Final_state	B-Final_quality	1	"no ""final_state"""	B-Final_quality
	12	받지	_	_	I-Final_state	I-Final_quality	1		I-Final_quality
	13	않게	_	_	I-Final_state	I-Final_quality	1		I-Final_quality
	14	되었다.	되다.a	Becoming	O	O	1		
									
47	#anno-id:729								
	#text:이러한 최근의 추세에 대한 하나의 예외는 레이건 혁명으로 1980년에 당선되고 1982년에 재선에 출마한 52명의 신참 공화당 의원 중 13명이 패배한 것이었다.								
	0	이러한	_	_	O	O	1		
	1	최근의	_	_	O	O	1		
	2	추세에	_	_	O	O	1		
	3	대한	_	_	O	O	1		
	4	하나의	_	_	O	O	1		
	5	예외는	_	_	O	O	1		
	6	레이건	_	_	B-Agent	B-Means	0	no FEs for this	B-Means
	7	혁명으로	_	_	I-Agent	I-Means	0		I-Means
	8	1980년에	_	_	B-Time	B-Time	1	B-Time	
	9	당선되고	당선되다.v	Bringing	B-Goal	B-Goal	1	B-Goal	
	10	1982년에	_	_	O	O	0	B-Time	
	11	재선에	_	_	O	B-Theme	0	B-Agent	
	12	출마한	_	_	O	I-Theme	1	I-Agent	
	13	52명의	_	_	B-Theme	I-Theme	1	I-Agent	B-Agent?
	14	신참	_	_	I-Theme	I-Theme	1	I-Agent	I-Agent?
	15	공화당	_	_	I-Theme	I-Theme	1	I-Agent	I-Agent?
	16	의원	_	_	I-Theme	I-Theme	1	I-Agent	I-Agent?
	17	중	_	_	O	I-Theme	0	I-Agent	I-Theme
	18	13명이	_	_	O	I-Theme	0	I-Agent	I-Theme
	19	패배한	_	_	O	O	1		
	20	것이었다.	_	_	O	O	1		
									
48	#anno-id:730								
	#text:이러한 최근의 추세에 대한 하나의 예외는 레이건 혁명으로 1980년에 당선되고 1982년에 재선에 출마한 52명의 신참 공화당 의원 중 13명이 패배한 것이었다.								
	0	이러한	_	_	O	O	1		
	1	최근의	_	_	O	O	1		
	2	추세에	_	_	O	O	1		
	3	대한	_	_	O	O	1		
	4	하나의	_	_	O	O	1		
	5	예외는	_	_	O	O	1		
	6	레이건	_	_	O	B-Circumstances	0	B-Loser	B-Circumstances
	7	혁명으로	_	_	O	I-Circumstances	0	I-Loser	I-Circumstances
	8	1980년에	_	_	O	I-Circumstances	0	I-Loser	
	9	당선되고	_	_	O	I-Circumstances	0	I-Loser	
	10	1982년에	_	_	B-Loser	B-Time	0	I-Loser	B-Time
	11	재선에	_	_	I-Loser	B-Loser	1	I-Loser	B-Loser
	12	출마한	_	_	I-Loser	I-Loser	1	I-Loser	
	13	52명의	_	_	I-Loser	I-Loser	1	I-Loser	
	14	신참	_	_	I-Loser	I-Loser	1	I-Loser	
	15	공화당	_	_	I-Loser	I-Loser	1	I-Loser	
	16	의원	_	_	I-Loser	I-Loser	1	I-Loser	
	17	중	_	_	I-Loser	I-Loser	1	I-Loser	
	18	13명이	_	_	I-Loser	I-Loser	1	I-Loser	
	19	패배한	패배하다.v	Beat_opponent	O	O	1		
	20	것이었다.	_	_	O	O	1		
									
49	#anno-id:733								
	#text:이러한 최근의 추세에 대한 하나의 예외는 레이건 혁명으로 1980년에 당선되고 1982년에 재선에 출마한 52명의 신참 공화당 의원 중 13명이 패배한 것이었다.								
	0	이러한	_	_	O	O	0	No FEs	B-Landmark_event
	1	최근의	_	_	O	O	0		I-Landmark_event
	2	추세에	-에.j	Temporal_collocation	O	O	1		I-Landmark_event
	3	대한	_	_	O	O	1		
	4	하나의	_	_	O	O	1		
	5	예외는	_	_	O	O	1		
	6	레이건	_	_	O	O	1		
	7	혁명으로	_	_	O	O	1		
	8	1980년에	_	_	B-Landmark_period	B-Landmark_period	0		
	9	당선되고	_	_	B-Trajector_event	B-Trajector_event	0		
	10	1982년에	_	_	O	O	1		
	11	재선에	_	_	O	O	1		
	12	출마한	_	_	O	O	1		
	13	52명의	_	_	O	O	1		
	14	신참	_	_	O	O	1		
	15	공화당	_	_	O	O	1		
	16	의원	_	_	O	O	1		
	17	중	_	_	O	O	1		
	18	13명이	_	_	O	O	1		
	19	패배한	_	_	O	O	1		
	20	것이었다.	_	_	O	O	1		
									
50	#anno-id:735								
	#text:이들 신참 의원들은 국가정책 결정에서 레이건 혁명을 전파하면서 당파적인 역할을 훨씬 더 강조했기 때문에 그들은 패배에 더욱 취약하였다.								
	0	이들	_	_	O	B-Creator	0	B-Creator	
	1	신참	_	_	O	I-Creator	0	I-Creator	
	2	의원들은	_	_	O	I-Creator	0	I-Creator	
	3	국가정책	_	_	B-Created_entity	B-Created_entity	1	B-Created_entity	
	4	결정에서	결정.n	Intentionally_create	O	I-Created_entity	0		I-Created_entity
	5	레이건	_	_	O	O	1		
	6	혁명을	_	_	O	O	1		
	7	전파하면서	_	_	O	O	1		
	8	당파적인	_	_	O	O	1		
	9	역할을	_	_	O	O	1		
	10	훨씬	_	_	O	O	1		
	11	더	_	_	O	O	1		
	12	강조했기	_	_	O	O	1		
	13	때문에	_	_	O	O	1		
	14	그들은	_	_	O	O	1		
	15	패배에	_	_	O	O	1		
	16	더욱	_	_	O	O	1		
	17	취약하였다.	_	_	O	O	1		
