#anno-id:3023
#text:본전의 조각상들은 사람, 문학의 신, 그리고 신비롭게 병렬로 놓은 전쟁의 신인 Mo를 나타낸다.
0	본전의	본전.n	Importance	B-Factor
11	기술까지	_	_	O
12	모든	_	_	O
13	것과	_	_	O
14	어떤	_	_	O
15	것이나	_	_	O
16	어떻게	_	_	O
17	작용하는지를	_	_	O
18	가르치는	가르다.v	Education_teaching	O
19	최첨단의	_	_	O
20	쌍방향	_	_	O
21	박물관이다.	_	_	O

#anno-id:3193
#text:역사 박물관 ( 화요일 - 일요일 오전 10시 - 오후 1 - 6시 개방 ; 월요일 폐쇄 ; 입장료 어른 홍콩 10 달러, 어린이 홍콩 5 달러 ) 은 2001년 8월 말에 새로운 영구 소장품을 공개했다.
0	역사	_	_	O
1	박물관	_	_	O
2	(	_	_	O
3	화요일	_	_	O
4	-	_	_	O
5	일요일	_	_	O
6	오전	_	_	O
7	10시	_	_	O
8	-	_	_	O
9	오후	_	_	O
10	1	_	_	O
11	-	_	_	O
12	6시	_	_	O
13	개방	_	_	O
14	;	_	_	O
15	월요일	_	_	O
16	폐쇄	_	_	O
17	;	_	_	O
18	입장료	_	_	O
19	어른	_	_	O
20	홍콩	_	_	O
21	10	_	_	O
22	달러,	_	_	O
23	어린이	_	_	O
24	홍콩	_	_	O
25	5	_	_	O
26	달러	_	_	O
27	)	_	_	O
28	은	_	_	O
29	2001년	_	_	O
30	8월	_	_	O
31	말에	_	_	O
32	새로운	_	_	O
33	영구	_	_	O
34	소장품을	소장품.n	Aggregate	O
35	공개했다.	_	_	O

#anno-id:3194
#text:역사 박물관 ( 화요일 - 일요일 오전 10시 - 오후 1 - 6시 개방 ; 월요일 폐쇄 ; 입장료 어른 홍콩 10 달러, 어린이 홍콩 5 달러 ) 은 2001년 8월 말에 새로운 영구 소장품을 공개했다.
0	역사	_	_	O
1	박물관	_	_	O
2	(	_	_	O
3	화요일	_	_	O
4	-	_	_	O
5	일요일	_	_	O
6	오전	_	_	O
7	10시	_	_	O
8	-	_	_	O
9	오후	_	_	O
10	1	_	_	O
11	-	_	_	O
12	6시	_	_	O
13	개방	_	_	O
14	;	_	_	O
15	월요일	_	_	O
16	폐쇄	_	_	O
17	;	_	_	O
18	입장료	_	_	O
19	어른	어른.n	People_by_age	O
20	홍콩	_	_	O
21	10	_	_	O
22	달러,	_	_	O
23	어린이	_	_	O
24	홍콩	_	_	O
25	5	_	_	O
26	달러	_	_	O
27	)	_	_	O
28	은	_	_	O
29	2001년	_	_	O
30	8월	_	_	O
31	말에	_	_	O
32	새로운	_	_	O
33	영구	_	_	O
34	소장품을	_	_	O
35	공개했다.	_	_	O

#anno-id:3196
#text:소장하고 있는 환상적인 공예 소장품은 6,000년의 홍콩 역사와 중국 문화를 보여 준다.
0	소장하고	_	_	O
1	있는	_	_	O
2	환상적인	_	_	O
3	공예	_	_	O
4	소장품은	_	_	O
5	6,000년의	년.n	Calendric_unit	B-Relative_time
6	홍콩	_	_	O
7	역사와	_	_	O
8	중국	_	_	O
9	문화를	_	_	O
10	보여	_	_	O
11	준다.	_	_	O

#anno-id:3200
#text:문화센터에서 Salisbury Road 바로 건너에 역사적인 반도 호텔이 있는데, 지금은 32층 타워로 확장되고 현대화 되었다.
0	문화센터에서	센터.n	Locale_by_use	B-Use
1	Salisbury	_	_	O
2	Road	_	_	O
3	바로	_	_	O
4	건너에	_	_	O
5	역사적인	_	_	O
6	반도	_	_	O
7	호텔이	_	_	O
8	있는데,	_	_	O
9	지금은	_	_	O
10	32층	_	_	O
11	타워로	_	_	O
12	확장되고	_	_	O
13	현대화	_	_	O
14	되었다.	_	_	O

#anno-id:3201
#text:이곳의 복원된 로비는 홍콩의 가장 우아한 모임 장소이다 ; 여기서의 오후 차는 방문자들의 의식이다.
0	이곳의	_	_	O
1	복원된	_	_	O
2	로비는	_	_	O
3	홍콩의	_	_	O
4	가장	_	_	O
5	우아한	_	_	O
6	모임	_	_	B-Use
7	장소이다	장소.n	Locale	O
8	;	_	_	O
9	여기서의	_	_	O
10	오후	_	_	O
11	차는	_	_	O
12	방문자들의	_	_	O
13	의식이다.	_	_	O

#anno-id:3210
#text:그 호텔과 나란히 상점들, 호텔들, 그리고 식당들이 줄을 이은 홍콩의 전설적인 쇼핑 거리인 분주한 Nathan Road 가 달리고 있다,
0	그	_	_	O
1	호텔과	호텔.n	Buildings	O
2	나란히	_	_	O
3	상점들,	_	_	O
4	호텔들,	_	_	O
5	그리고	_	_	O
6	식당들이	_	_	O
7	줄을	_	_	O
8	이은	_	_	O
9	홍콩의	_	_	O
10	전설적인	_	_	O
11	쇼핑	_	_	O
12	거리인	_	_	O
13	분주한	_	_	O
14	Nathan	_	_	O
15	Road	_	_	O
16	가	_	_	O
17	달리고	_	_	O
18	있다,	_	_	O

#anno-id:3212
#text:그 호텔과 나란히 상점들, 호텔들, 그리고 식당들이 줄을 이은 홍콩의 전설적인 쇼핑 거리인 분주한 Nathan Road 가 달리고 있다,
0	그	_	_	O
1	호텔과	_	_	O
2	나란히	_	_	O
3	상점들,	_	_	O
4	호텔들,	_	_	O
5	그리고	_	_	O
6	식당들이	_	_	O
7	줄을	_	_	O
8	이은	_	_	O
9	홍콩의	_	_	O
10	전설적인	_	_	O
11	쇼핑	_	_	O
12	거리인	_	_	O
13	분주한	분주하다.a	Lively_place	O
14	Nathan	_	_	B-Location
15	Road	_	_	I-Location
16	가	_	_	O
17	달리고	_	_	O
18	있다,	_	_	O

#anno-id:3227
#text:QN : 12월 11일 저녁 에 John의 노트북 컴퓨터가 어느 도시에 있나 ?
0	QN	_	_	O
1	:	_	_	O
2	12월	_	_	B-Time
3	11일	_	_	I-Time
4	저녁	_	_	I-Time
5	에	-에.j	Locative_relation	I-Time
6	John의	_	_	B-Figure
7	노트북	_	_	I-Figure
8	컴퓨터가	_	_	I-Figure
9	어느	_	_	B-Ground
10	도시에	_	_	I-Ground
11	있나	_	_	O
12	?	_	_	O

#anno-id:3228
#text:QN : 그는 바로 비행기를 타고 파리로 비행할 수 있나 ?
0	QN	_	_	O
1	:	_	_	O
2	그는	_	_	B-Theme
3	바로	_	_	O
4	비행기를	_	_	O
5	타고	_	_	O
6	파리로	_	_	B-Goal
7	비행할	비행하다.v	Ride_vehicle	O
8	수	_	_	O
9	있나	_	_	O
10	?	_	_	O

#anno-id:3237
#text:헬리콥터들은 식량 없이 발이 묶인 사람들의 위치를 찾으려 시도하고 있다.
0	헬리콥터들은	_	_	B-Agent
1	식량	_	_	B-Goal
2	없이	_	_	I-Goal
3	발이	_	_	I-Goal
4	묶인	_	_	I-Goal
5	사람들의	_	_	I-Goal
6	위치를	_	_	I-Goal
7	찾으려	_	_	O
8	시도하고	시도하다.v	Attempt	O
9	있다.	_	_	O

#anno-id:3238
#text:QN : Trump는 전쟁에 참전하려는 W의 결정을 지지하는가 ?
0	QN	_	_	O
1	:	_	_	O
2	Trump는	_	_	B-Cognizer
3	전쟁에	_	_	B-Action
4	참전하려는	_	_	I-Action
5	W의	_	_	I-Action
6	결정을	_	_	I-Action
7	지지하는가	지지하다.v	Taking_sides	O
8	?	_	_	O

#anno-id:3241
#text:배당률 변경자, 혹은 징글러들은 특정 말에 많은 양의 돈을 퍼부어 유리한 배당률을 얻으려고 시도하고, 그리고 나서 더 좋은 배韜晥 두 번째 돈을 걸기 위해 마지막 순간에 돈을 거는 것을 취소한다.
0	배당률	_	_	B-Recipient
1	변경자,	_	_	I-Recipient
2	혹은	_	_	I-Recipient
3	징글러들은	_	_	I-Recipient
4	특정	_	_	O
5	말에	_	_	O
6	많은	_	_	O
7	양의	_	_	O
8	돈을	_	_	O
9	퍼부어	_	_	O
10	유리한	_	_	B-Theme
11	배당률을	_	_	I-Theme
12	얻으려고	얻다.v	Getting	O
13	시도하고,	_	_	O
14	그리고	_	_	O
15	나서	_	_	O
16	더	_	_	O
17	좋은	_	_	O
18	배韜晥	_	_	O
19	두	_	_	O
20	번째	_	_	O
21	돈을	_	_	O
22	걸기	_	_	O
23	위해	_	_	O
24	마지막	_	_	O
25	순간에	_	_	O
26	돈을	_	_	O
27	거는	_	_	O
28	것을	_	_	O
29	취소한다.	_	_	O

#anno-id:3244
#text:언급한대로, IBM은 손가락으로 움직이는 작은 트랙볼이나 작은 패널 대신에 키보드의 중앙에 있는 마우스 스틱을 선택하였다.
0	언급한대로,	_	_	O
1	IBM은	_	_	O
2	손가락으로	_	_	B-Bodypart_of_agent
3	움직이는	움직이다.v	Manipulation	O
4	작은	_	_	O
5	트랙볼이나	_	_	O
6	작은	_	_	B-Entity
7	패널	_	_	I-Entity
8	대신에	_	_	O
9	키보드의	_	_	O
10	중앙에	_	_	O
11	있는	_	_	O
12	마우스	_	_	O
13	스틱을	_	_	O
14	선택하였다.	_	_	O

#anno-id:3257
#text:진실이 전쟁에서 최초의 사상자 인가 ?
0	진실이	_	_	O
1	전쟁에서	_	_	B-Basis_of_order
2	최초의	최초.n	Ordinal_numbers	O
3	사상자	_	_	B-Type
4	인가	_	_	O
5	?	_	_	O

#anno-id:3263
#text:미국 의회의 재정 강경파들은 행정부 예산의 다른 어디에서 삭감하여 그들에게 지급되지 않으면 대사관 보안 조치에 반대하는 투표를 하기로 월요일에 서약하였다.
0	미국	_	_	B-Speaker
1	의회의	_	_	I-Speaker
2	재정	_	_	I-Speaker
3	강경파들은	_	_	I-Speaker
4	행정부	_	_	B-Message
5	예산의	_	_	I-Message
6	다른	_	_	I-Message
7	어디에서	_	_	I-Message
8	삭감하여	_	_	I-Message
9	그들에게	_	_	I-Message
10	지급되지	_	_	I-Message
11	않으면	_	_	I-Message
12	대사관	_	_	I-Message
13	보안	_	_	I-Message
14	조치에	_	_	I-Message
15	반대하는	_	_	I-Message
16	투표를	_	_	I-Message
17	하기로	_	_	I-Message
18	월요일에	_	_	B-Time
19	서약하였다.	서약하다.v	Commitment	O

#anno-id:3266
#text:미국의 관료들은 이제 Muhammad가 카타르 정부의 누군가에 의해 경고를 받았고 그가 다른 이슬람 과격파에 대한 지원을 제공한 근본주의자인, Abdallah bin Khalid의 단지에 머물고 있다는 것을 믿는다고 말한다.
0	미국의	미국.n	Origin	O
1	관료들은	_	_	B-Entity
2	이제	_	_	O
3	Muhammad가	_	_	O
4	카타르	_	_	O
5	정부의	_	_	O
6	누군가에	_	_	O
7	의해	_	_	O
8	경고를	_	_	O
9	받았고	_	_	O
10	그가	_	_	O
11	다른	_	_	O
12	이슬람	_	_	O
13	과격파에	_	_	O
14	대한	_	_	O
15	지원을	_	_	O
16	제공한	_	_	O
17	근본주의자인,	_	_	O
18	Abdallah	_	_	O
19	bin	_	_	O
20	Khalid의	_	_	O
21	단지에	_	_	O
22	머물고	_	_	O
23	있다는	_	_	O
24	것을	_	_	O
25	믿는다고	_	_	O
26	말한다.	_	_	O

#anno-id:3277
#text:Dayton에 있는Merit Awnings의 소유자인 Kevin Tatman에 의하면, 직물 차양 가격은 알루미늄 차양 가격보다 변동이 더 심하다.
0	Dayton에	_	_	O
1	있는Merit	_	_	O
2	Awnings의	_	_	O
3	소유자인	_	_	O
4	Kevin	_	_	O
5	Tatman에	_	_	O
6	의하면,	_	_	O
7	직물	_	_	B-Goods
8	차양	_	_	I-Goods
9	가격은	가격.n	Commerce_scenario	I-Goods
10	알루미늄	_	_	O
11	차양	_	_	O
12	가격보다	_	_	O
13	변동이	_	_	O
14	더	_	_	O
15	심하다.	_	_	O

#anno-id:3293
#text:QN : Duke는 무료 iPaod을 모든 새로운 학생에게 주기로 계획하나 ?
0	QN	_	_	O
1	:	_	_	O
2	Duke는	_	_	O
3	무료	_	_	O
4	iPaod을	_	_	O
5	모든	_	_	O
6	새로운	_	_	O
7	학생에게	학생.n	Education_teaching	O
8	주기로	_	_	O
9	계획하나	_	_	O
10	?	_	_	O

#anno-id:3294
#text:QN : Duke는 무료 iPaod을 모든 새로운 학생에게 주기로 계획하나 ?
0	QN	_	_	O
1	:	_	_	O
2	Duke는	_	_	B-Agent
3	무료	_	_	B-Goal
4	iPaod을	_	_	I-Goal
5	모든	_	_	I-Goal
6	새로운	_	_	I-Goal
7	학생에게	_	_	I-Goal
8	주기로	_	_	I-Goal
9	계획하나	계획하다.v	Purpose	O
10	?	_	_	O

#anno-id:3297
#text:그 판사는 Daimler가 1998년 거래를 프리미엄 지불을 피하기 위해 부정하게 기술한다고 생각하는가 ?
0	그	_	_	O
1	판사는	_	_	O
2	Daimler가	_	_	B-Speaker
3	1998년	_	_	B-Item
4	거래를	_	_	I-Item
5	프리미엄	_	_	O
6	지불을	_	_	O
7	피하기	_	_	O
8	위해	_	_	O
9	부정하게	_	_	B-Manner
10	기술한다고	기술하다.v	Communicate_categorization	O
11	생각하는가	_	_	O
12	?	_	_	O

#anno-id:3300
#text:그 판사는 Daimler가 1998년 거래를 프리미엄 지불을 피하기 위해 부정하게 설명한다고 생각하는가 ?
0	그	_	_	B-Cognizer
1	판사는	_	_	I-Cognizer
2	Daimler가	_	_	B-Opinion
3	1998년	_	_	I-Opinion
4	거래를	_	_	I-Opinion
5	프리미엄	_	_	I-Opinion
6	지불을	_	_	I-Opinion
7	피하기	_	_	I-Opinion
8	위해	_	_	I-Opinion
9	부정하게	_	_	O
10	설명한다고	_	_	O
11	생각하는가	생각하다.v	Opinion	O
12	?	_	_	O

#anno-id:3303
#text:그 판사는 Daimler가 1998년 거래를 프리미엄 지불을 피하기 위해 부정하게 설명한다고 생각하는가 ?
0	그	_	_	O
1	판사는	_	_	O
2	Daimler가	_	_	B-Agent
3	1998년	_	_	O
4	거래를	_	_	O
5	프리미엄	_	_	B-Undesirable_situation
6	지불을	_	_	I-Undesirable_situation
7	피하기	피하다.v	Avoiding	O
8	위해	_	_	O
9	부정하게	_	_	O
10	설명한다고	_	_	O
11	생각하는가	_	_	O
12	?	_	_	O

#anno-id:3312
#text:세계무역기구 ( WTO ) 의 항소 위원단은 미국이 인터넷 도박에 대한 제재를 계속할 수 있을지라도, 국가가 부과하는 일부 규칙은 외국 운영자들에게는 차별적이라고 목요일에 판결을 내렸다.
0	세계무역기구	_	_	O
1	(	_	_	O
2	WTO	_	_	O
3	)	_	_	O
4	의	_	_	O
5	항소	_	_	O
6	위원단은	_	_	O
7	미국이	_	_	O
8	인터넷	_	_	O
9	도박에	_	_	O
10	대한	_	_	O
11	제재를	_	_	O
12	계속할	_	_	O
13	수	_	_	O
14	있을지라도,	_	_	O
15	국가가	_	_	O
16	부과하는	_	_	O
17	일부	_	_	O
18	규칙은	_	_	O
19	외국	외국.n	Foreign_or_domestic_country	O
20	운영자들에게는	_	_	O
21	차별적이라고	_	_	O
22	목요일에	_	_	O
23	판결을	_	_	O
24	내렸다.	_	_	O

#anno-id:3314
#text:QN : Bocelli는 Tuscany에 집을 가지고 있나 ?
0	QN	_	_	O
1	:	_	_	O
2	Bocelli는	_	_	B-Owner
3	Tuscany에	_	_	B-Possession
4	집을	_	_	I-Possession
5	가지고	가지다.v	Possession	O
6	있나	_	_	O
7	?	_	_	O

#anno-id:3316
#text:그녀가 난소암으로 죽기 전에 그들의 엄마가 유전자 테스트를 가졌다는 것을 아는 두 자매는 그녀의 테스트 결과를 알기 원한다.
0	그녀가	_	_	B-Cognizer
1	난소암으로	_	_	I-Cognizer
2	죽기	_	_	I-Cognizer
3	전에	_	_	I-Cognizer
4	그들의	_	_	I-Cognizer
5	엄마가	_	_	I-Cognizer
6	유전자	_	_	I-Cognizer
7	테스트를	_	_	I-Cognizer
8	가졌다는	_	_	I-Cognizer
9	것을	_	_	I-Cognizer
10	아는	_	_	I-Cognizer
11	두	_	_	I-Cognizer
12	자매는	_	_	I-Cognizer
13	그녀의	_	_	B-Phenomenon
14	테스트	_	_	I-Phenomenon
15	결과를	_	_	I-Phenomenon
16	알기	알다.v	Becoming_aware	O
17	원한다.	_	_	O

#anno-id:3328
#text:Vaughn은 총을 사용하여 네 명의 인질을 죽였나 ?
0	Vaughn은	_	_	B-Agent
1	총을	_	_	B-Instrument
2	사용하여	사용하다.v	Using	O
3	네	_	_	B-Purpose
4	명의	_	_	I-Purpose
5	인질을	_	_	I-Purpose
6	죽였나	_	_	I-Purpose
7	?	_	_	O

#anno-id:3331
#text:1990년대 초에, 중국의 관리들은 새로운 병원을 위해 가용한 땅과 건설과 운영비를 위한 자금을 만들었다.
0	1990년대	_	_	O
1	초에,	_	_	O
2	중국의	_	_	O
3	관리들은	_	_	O
4	새로운	_	_	O
5	병원을	_	_	O
6	위해	_	_	O
7	가용한	_	_	O
8	땅과	_	_	O
9	건설과	_	_	B-Goods
10	운영비를	운영비.n	Expensiveness	I-Goods
11	위한	_	_	O
12	자금을	_	_	O
13	만들었다.	_	_	O

#anno-id:3338
#text:" 독가스를 제조하기 위해 사용되는 금지된 물질을 공급하려는 인도 정부와의 비밀의 수 백만 파운드의 거래 " 에 대해 1996년 6월 23일에 Sunday Telegraph가 보도하였다.
0	"	_	_	O
1	독가스를	_	_	B-Theme
2	제조하기	_	_	I-Theme
3	위해	_	_	I-Theme
4	사용되는	_	_	I-Theme
5	금지된	_	_	I-Theme
6	물질을	_	_	I-Theme
7	공급하려는	공급하다.v	Supply	O
8	인도	_	_	B-Supplier
9	정부와의	_	_	I-Supplier
10	비밀의	_	_	I-Supplier
11	수	_	_	I-Supplier
12	백만	_	_	I-Supplier
13	파운드의	_	_	I-Supplier
14	거래	_	_	I-Supplier
15	"	_	_	O
16	에	_	_	O
17	대해	_	_	O
18	1996년	_	_	O
19	6월	_	_	O
20	23일에	_	_	O
21	Sunday	_	_	O
22	Telegraph가	_	_	O
23	보도하였다.	_	_	O

#anno-id:3339
#text:" 독가스를 제조하기 위해 사용되는 금지된 물질을 공급하려는 인도 정부와의 비밀의 수 백만 파운드의 거래 " 에 대해 1996년 6월 23일에 Sunday Telegraph가 보도하였다.
0	"	_	_	O
1	독가스를	_	_	B-Topic
2	제조하기	_	_	I-Topic
3	위해	_	_	I-Topic
4	사용되는	_	_	I-Topic
5	금지된	_	_	I-Topic
6	물질을	_	_	I-Topic
7	공급하려는	_	_	I-Topic
8	인도	_	_	I-Topic
9	정부와의	_	_	I-Topic
10	비밀의	_	_	I-Topic
11	수	_	_	I-Topic
12	백만	_	_	I-Topic
13	파운드의	_	_	I-Topic
14	거래	_	_	I-Topic
15	"	_	_	I-Topic
16	에	_	_	I-Topic
17	대해	_	_	I-Topic
18	1996년	_	_	B-Time
19	6월	_	_	I-Time
20	23일에	_	_	I-Time
21	Sunday	_	_	B-Medium
22	Telegraph가	_	_	I-Medium
23	보도하였다.	보도하다.v	Statement	O

#anno-id:3352
#text:이란은 공격용 화학무기 프로그램을 적극적으로 추구하고 있다는 혐의를 계속 부인하고 있다.
0	이란은	_	_	O
1	공격용	_	_	B-Message
2	화학무기	_	_	I-Message
3	프로그램을	_	_	I-Message
4	적극적으로	_	_	I-Message
5	추구하고	_	_	I-Message
6	있다는	_	_	I-Message
7	혐의를	혐의.n	Statement	O
8	계속	_	_	O
9	부인하고	_	_	O
10	있다.	_	_	O

#anno-id:3355
#text:1996년에, 이란은 정부 당국이 협정 하에 그들의 임무와 책임에 친숙할 수 있도록 테헤란에 국가 화학무기금지협약에 관한 최초의 지역 세미나를 가졌다.
0	1996년에,	_	_	O
1	이란은	_	_	O
2	정부	_	_	O
3	당국이	_	_	O
4	협정	_	_	B-Condition
5	하에	_	_	I-Condition
6	그들의	_	_	B-Responsible_party
7	임무와	임무.n	Being_obligated	O
8	책임에	_	_	O
9	친숙할	_	_	O
10	수	_	_	O
11	있도록	_	_	O
12	테헤란에	_	_	O
13	국가	_	_	O
14	화학무기금지협약에	_	_	O
15	관한	_	_	O
16	최초의	_	_	O
17	지역	_	_	O
18	세미나를	_	_	O
19	가졌다.	_	_	O

#anno-id:3370
#text:그래서 미사일 판매는 아직도 성행하고 있다.
0	그래서	_	_	O
1	미사일	_	_	B-Goods
2	판매는	판매.n	Commerce_sell	O
3	아직도	_	_	O
4	성행하고	_	_	O
5	있다.	_	_	O

#anno-id:3375
#text:북한은 화학무기 공격으로부터 군 비행장을 보호하기 위한 조치를 취하였나 ?
0	북한은	_	_	O
1	화학무기	_	_	O
2	공격으로부터	_	_	O
3	군	_	_	B-Use
4	비행장을	비행장.n	Locale_by_use	O
5	보호하기	_	_	O
6	위한	_	_	O
7	조치를	_	_	O
8	취하였나	_	_	O
9	?	_	_	O

#anno-id:3378
#text:북한은 화학무기 공격으로부터 군 비행장을 보호하기 위한 조치를 취하였나 ?
0	북한은	_	_	O
1	화학무기	_	_	B-Weapon
2	공격으로부터	공격.n	Attack	O
3	군	_	_	O
4	비행장을	_	_	O
5	보호하기	_	_	O
6	위한	_	_	O
7	조치를	_	_	O
8	취하였나	_	_	O
9	?	_	_	O

#anno-id:3382
#text:적어도 미사일 기술 통제 체제 ( MTCR ) 의 의도를 넘어서는 미사일과 미사일 관련기술을 이란에 제공하려는 북한 ( DPRK ), 중국 ( PRC ), 그리고 러시아의 계속되는 의지.
0	적어도	_	_	O
1	미사일	_	_	O
2	기술	_	_	O
3	통제	_	_	O
4	체제	_	_	O
5	(	_	_	O
6	MTCR	_	_	O
7	)	_	_	O
8	의	_	_	O
9	의도를	_	_	O
10	넘어서는	_	_	O
11	미사일과	_	_	O
12	미사일	_	_	B-Type
13	관련기술을	기술.n	Artifact	I-Type
14	이란에	_	_	O
15	제공하려는	_	_	O
16	북한	_	_	O
17	(	_	_	O
18	DPRK	_	_	O
19	),	_	_	O
20	중국	_	_	O
21	(	_	_	O
22	PRC	_	_	O
23	),	_	_	O
24	그리고	_	_	O
25	러시아의	_	_	O
26	계속되는	_	_	O
27	의지.	_	_	O

#anno-id:3401
#text:QN : 러시아의 화학무기 시설은 우연한 화학무기 방출을 탐지하기 위한 시스템을 가지고 있나 ?
0	QN	_	_	O
1	:	_	_	O
2	러시아의	_	_	B-Relative_location
3	화학무기	_	_	B-Use
4	시설은	시설.n	Locale_by_use	O
5	우연한	_	_	O
6	화학무기	_	_	O
7	방출을	_	_	O
8	탐지하기	_	_	O
9	위한	_	_	O
10	시스템을	_	_	O
11	가지고	_	_	O
12	있나	_	_	O
13	?	_	_	O

#anno-id:3402
#text:QN : 러시아의 화학무기 시설은 우연한 화학무기 방출을 탐지하기 위한 시스템을 가지고 있나 ?
0	QN	_	_	O
1	:	_	_	O
2	러시아의	_	_	O
3	화학무기	_	_	O
4	시설은	_	_	O
5	우연한	_	_	B-Phenomenon
6	화학무기	_	_	I-Phenomenon
7	방출을	_	_	I-Phenomenon
8	탐지하기	탐지하다.v	Perception_experience	O
9	위한	_	_	O
10	시스템을	_	_	O
11	가지고	_	_	O
12	있나	_	_	O
13	?	_	_	O

#anno-id:3403
#text:QN : 러시아의 화학무기 시설은 우연한 화학무기 방출을 탐지하기 위한 시스템을 가지고 있나 ?
0	QN	_	_	O
1	:	_	_	O
2	러시아의	_	_	O
3	화학무기	무기.n	Weapon	O
4	시설은	_	_	O
5	우연한	_	_	O
6	화학무기	_	_	O
7	방출을	_	_	O
8	탐지하기	_	_	O
9	위한	_	_	O
10	시스템을	_	_	O
11	가지고	_	_	O
12	있나	_	_	O
13	?	_	_	O

#anno-id:3408
#text:소각에 이은 가수분해를 이용하여 매년 350톤의 신경작용제를 파괴하도록 설계된 시설은 50 백만 루블이 들었고 건설에 3년 이상이 걸렸다.
0	소각에	_	_	B-Instrument
1	이은	_	_	I-Instrument
2	가수분해를	_	_	I-Instrument
3	이용하여	이용하다.v	Using	O
4	매년	_	_	O
5	350톤의	_	_	O
6	신경작용제를	_	_	O
7	파괴하도록	_	_	O
8	설계된	_	_	O
9	시설은	_	_	B-Agent
10	50	_	_	O
11	백만	_	_	O
12	루블이	_	_	O
13	들었고	_	_	O
14	건설에	_	_	O
15	3년	_	_	O
16	이상이	_	_	O
17	걸렸다.	_	_	O

#anno-id:3413
#text:QN : 러시아는 화학무기 파괴에 필요한 기간시설을 보유하고 있나 ?
0	QN	_	_	O
1	:	_	_	O
2	러시아는	_	_	O
3	화학무기	_	_	B-Patient
4	파괴에	파괴.n	Destroying	O
5	필요한	_	_	O
6	기간시설을	_	_	O
7	보유하고	_	_	O
8	있나	_	_	O
9	?	_	_	O

#anno-id:3415
#text:소문에 의하면 루이사이트와 겨자탄이 생산되었던 Samara 지방의 Chapayevsk에서 1993-1994년에 수행된 테스트에서 이전의 공장 주변의 흙에서 허용 농도 ( 킬로그램 당 2 밀리그램 ) 의 8,500 배가 되는 비소 농도가 발견되었고 ; 주변 도시 지역에서는 허용 농도의 2배에서 10배였다.
0	소문에	_	_	O
1	의하면	_	_	O
2	루이사이트와	_	_	O
3	겨자탄이	_	_	O
4	생산되었던	_	_	O
5	Samara	_	_	O
6	지방의	_	_	O
7	Chapayevsk에서	_	_	O
8	1993-1994년에	_	_	O
9	수행된	_	_	O
10	테스트에서	_	_	O
11	이전의	_	_	O
12	공장	공장.n	Locale_by_use	O
13	주변의	_	_	O
14	흙에서	_	_	O
15	허용	_	_	O
16	농도	_	_	O
17	(	_	_	O
18	킬로그램	_	_	O
19	당	_	_	O
20	2	_	_	O
21	밀리그램	_	_	O
22	)	_	_	O
23	의	_	_	O
24	8,500	_	_	O
25	배가	_	_	O
26	되는	_	_	O
27	비소	_	_	O
28	농도가	_	_	O
29	발견되었고	_	_	O
30	;	_	_	O
31	주변	_	_	O
32	도시	_	_	O
33	지역에서는	_	_	O
34	허용	_	_	O
35	농도의	_	_	O
36	2배에서	_	_	O
37	10배였다.	_	_	O

#anno-id:3420
#text:이 과학자들은 그 중 몇은 2 원체인 이들 화합물들은 화학무기금지협약을 우회하고 그리고 서방의 탐지 및 보호 조치를 무력화시키도록 설계되었다.
0	이	_	_	O
1	과학자들은	_	_	O
2	그	_	_	B-Idea
3	중	_	_	I-Idea
4	몇은	_	_	I-Idea
5	2	_	_	I-Idea
6	원체인	_	_	I-Idea
7	이들	_	_	I-Idea
8	화합물들은	_	_	I-Idea
9	화학무기금지협약을	_	_	B-Purpose
10	우회하고	_	_	I-Purpose
11	그리고	_	_	I-Purpose
12	서방의	_	_	I-Purpose
13	탐지	_	_	I-Purpose
14	및	_	_	I-Purpose
15	보호	_	_	I-Purpose
16	조치를	_	_	I-Purpose
17	무력화시키도록	_	_	I-Purpose
18	설계되었다.	설계되다.v	Coming_up_with	O

#anno-id:3421
#text:이 과학자들은 그 중 몇은 2 원체인 이들 화합물들은 화학무기금지협약을 우회하고 그리고 서방의 탐지 및 보호 조치를 무력화시키도록 설계되었다.
0	이	_	_	O
1	과학자들은	과학자.n	People_by_vocation	O
2	그	_	_	O
3	중	_	_	O
4	몇은	_	_	O
5	2	_	_	O
6	원체인	_	_	O
7	이들	_	_	O
8	화합물들은	_	_	O
9	화학무기금지협약을	_	_	O
10	우회하고	_	_	O
11	그리고	_	_	O
12	서방의	_	_	O
13	탐지	_	_	O
14	및	_	_	O
15	보호	_	_	O
16	조치를	_	_	O
17	무력화시키도록	_	_	O
18	설계되었다.	_	_	O

#anno-id:3423
#text:더욱이, 그것들의 생산은 상업적인 화학 공장 내에 숨겨질 수 있다고 주장되고 있다.
0	더욱이,	_	_	O
1	그것들의	_	_	B-Product
2	생산은	생산.n	Manufacturing	O
3	상업적인	_	_	O
4	화학	_	_	O
5	공장	_	_	O
6	내에	_	_	O
7	숨겨질	_	_	O
8	수	_	_	O
9	있다고	_	_	O
10	주장되고	_	_	O
11	있다.	_	_	O

#anno-id:3425
#text:QN : 러시아는 쉽게 숨길 수 있는 화학무기를 생산하고 있나 ?
0	QN	_	_	O
1	:	_	_	O
2	러시아는	_	_	B-Producer
3	쉽게	_	_	B-Product
4	숨길	_	_	I-Product
5	수	_	_	I-Product
