#anno-id:11283
#text:커플.
0	커플.	커플.n	Personal_relationship	B-Partners
3	뚜렷하며,	_	_	O
4	여름은	_	_	B-Item
5	상당히	_	_	B-Degree
6	무덥다.	무덥다.a	Being_wet	O

#anno-id:11596
#text:그 후, 이것이 전례가 되어 해부를 하게 되었는데, 1771년(1771년)에는, 스기타 겐파쿠, 마에노 료타쿠, 나카가와 쥰안 등이 처형된 사람들의 속을 들여다보았고, 이것이 후에 「해체신서」로 출판되었다.
0	그	_	_	O
1	후,	_	_	O
2	이것이	_	_	O
3	전례가	_	_	O
4	되어	_	_	O
5	해부를	_	_	O
6	하게	_	_	O
7	되었는데,	_	_	O
8	1771년(1771년)에는,	_	_	O
9	스기타	_	_	O
10	겐파쿠,	_	_	O
11	마에노	_	_	O
12	료타쿠,	_	_	O
13	나카가와	_	_	O
14	쥰안	_	_	O
15	등이	_	_	O
16	처형된	처형되다.v	Cutting	O
17	사람들의	_	_	B-Item
18	속을	_	_	I-Item
19	들여다보았고,	_	_	O
20	이것이	_	_	O
21	후에	_	_	O
22	「해체신서」로	_	_	O
23	출판되었다.	_	_	O

#anno-id:11601
#text:큰 웃음을 주지는 않지만, 맛이 좋다.
0	큰	_	_	O
1	웃음을	_	_	O
2	주지는	_	_	O
3	않지만,	_	_	O
4	맛이	_	_	B-Parameter
5	좋다.	좋다.a	Desirability	O

#anno-id:11606
#text:그렇다면, 영업력이 없어도 팔리는 상품을 만들면 괜찮다는 말이 된다.
0	그렇다면,	_	_	O
1	영업력이	_	_	B-Evaluee
2	없어도	_	_	I-Evaluee
3	팔리는	_	_	I-Evaluee
4	상품을	_	_	I-Evaluee
5	만들면	_	_	I-Evaluee
6	괜찮다는	괜찮다.a	Desirability	O
7	말이	_	_	O
8	된다.	_	_	O

#anno-id:11611
#text:「살짝 눈을 감아주세요」라고, 원장 다카에스 가오루 선생이, 부드러운 목소리로 말합니다.
0	「살짝	_	_	O
1	눈을	_	_	O
2	감아주세요」라고,	_	_	O
3	원장	원장.n	Leadership	O
4	다카에스	_	_	B-Leader
5	가오루	_	_	I-Leader
6	선생이,	_	_	I-Leader
7	부드러운	_	_	O
8	목소리로	_	_	O
9	말합니다.	_	_	O

#anno-id:11617
#text:인간은 언제나 꾹 참고 가만히 있을 수는 없습니다.
0	인간은	인간.n	People	B-Person
1	언제나	_	_	O
2	꾹	_	_	O
3	참고	_	_	O
4	가만히	_	_	O
5	있을	_	_	O
6	수는	_	_	O
7	없습니다.	_	_	O

#anno-id:11620
#text:무제에서 봉차도위로 임명되고, 나중에 대사마대장군에 올랐다.
0	무제에서	_	_	O
1	봉차도위로	_	_	O
2	임명되고,	_	_	O
3	나중에	_	_	B-Time
4	대사마대장군에	_	_	B-Goal
5	올랐다.	오르다.v	Self_motion	O

#anno-id:11631
#text:인생은 스스로 나서서 밝아질 정도의 배포가 없으면 재미가 없다.
0	인생은	_	_	B-Stimulus
1	스스로	_	_	B-Circumstances
2	나서서	_	_	I-Circumstances
3	밝아질	_	_	I-Circumstances
4	정도의	_	_	I-Circumstances
5	배포가	_	_	I-Circumstances
6	없으면	_	_	I-Circumstances
7	재미가	재미.n	Stimulus_focus	O
8	없다.	_	_	O

#anno-id:11642
#text:방청석에서, 시키가 일어서는 것이 눈에 들어왔다.
0	방청석에서,	_	_	B-Ground
1	시키가	_	_	B-Phenomenon
2	일어서는	_	_	B-Depictive
3	것이	_	_	I-Depictive
4	눈에	_	_	B-Body_part
5	들어왔다.	들어오다.v	Perception_experience	O

#anno-id:11647
#text:야마우에는 아카네와 관계를 가지며, 그런 공포에 떨었다.
0	야마우에는	_	_	B-Experiencer
1	아카네와	_	_	B-Circumstances
2	관계를	_	_	I-Circumstances
3	가지며,	_	_	I-Circumstances
4	그런	_	_	B-Content
5	공포에	_	_	I-Content
6	떨었다.	떨다.v	Experiencer_focus	O

#anno-id:11650
#text:사람들은 맥없이 떠나가다가, 다시 멈춰서서 바라보고 있다.
0	사람들은	_	_	B-Perceiver_agentive
1	맥없이	_	_	B-Means
2	떠나가다가,	_	_	I-Means
3	다시	_	_	I-Means
4	멈춰서서	_	_	I-Means
5	바라보고	바라보다.v	Perception_active	O
6	있다.	_	_	O

#anno-id:11659
#text:할아버지 세대에는, 초등학교도, 아이들이 뛰놀던 신사도, 모두 나카타 가문이 소유하는 토지에 속해 있었다.
0	할아버지	_	_	O
1	세대에는,	_	_	O
2	초등학교도,	_	_	O
3	아이들이	아이.n	People_by_age	B-Person
4	뛰놀던	_	_	O
5	신사도,	_	_	O
6	모두	_	_	O
7	나카타	_	_	O
8	가문이	_	_	O
9	소유하는	_	_	O
10	토지에	_	_	O
11	속해	_	_	O
12	있었다.	_	_	O

#anno-id:11660
#text:할아버지 세대에는, 초등학교도, 아이들이 뛰놀던 신사도, 모두 나카타 가문이 소유하는 토지에 속해 있었다.
0	할아버지	_	_	O
1	세대에는,	_	_	O
2	초등학교도,	_	_	O
3	아이들이	_	_	O
4	뛰놀던	_	_	O
5	신사도,	신사.n	Locale_by_use	B-Locale
6	모두	_	_	O
7	나카타	_	_	O
8	가문이	_	_	O
9	소유하는	_	_	O
10	토지에	_	_	O
11	속해	_	_	O
12	있었다.	_	_	O

#anno-id:11669
#text:과제는, 기존의 상품진열에서, 단품별 입(발주 보충수.) ・출(판매수.) ・잔(재고수.)을 파악해, 적절하게 진열 위치를 바꾸고, 팔릴 때 팔릴만한 재고를 유지할 수 있는가이다.
0	과제는,	_	_	O
1	기존의	_	_	O
2	상품진열에서,	진열.n	Arranging	B-Theme
3	단품별	_	_	O
4	입(발주	_	_	O
5	보충수.)	_	_	O
6	・출(판매수.)	_	_	O
7	・잔(재고수.)을	_	_	O
8	파악해,	_	_	O
9	적절하게	_	_	O
10	진열	_	_	O
11	위치를	_	_	O
12	바꾸고,	_	_	O
13	팔릴	_	_	O
14	때	_	_	O
15	팔릴만한	_	_	O
16	재고를	_	_	O
17	유지할	_	_	O
18	수	_	_	O
19	있는가이다.	_	_	O

#anno-id:11673
#text:과제는, 기존의 상품진열에서, 단품별 입(발주 보충수.) ・출(판매수.) ・잔(재고수.)을 파악해, 적절하게 진열 위치를 바꾸고, 팔릴 때 팔릴만한 재고를 유지할 수 있는가이다.
0	과제는,	_	_	O
1	기존의	_	_	O
2	상품진열에서,	_	_	O
3	단품별	_	_	B-Goods
4	입(발주	_	_	O
5	보충수.)	_	_	O
6	・출(판매수.)	판매.n	Commerce_sell	O
7	・잔(재고수.)을	_	_	O
8	파악해,	_	_	O
9	적절하게	_	_	O
10	진열	_	_	O
11	위치를	_	_	O
12	바꾸고,	_	_	O
13	팔릴	_	_	O
14	때	_	_	O
15	팔릴만한	_	_	O
16	재고를	_	_	O
17	유지할	_	_	O
18	수	_	_	O
19	있는가이다.	_	_	O

#anno-id:11675
#text:과제는, 기존의 상품진열에서, 단품별 입(발주 보충수.) ・출(판매수.) ・잔(재고수.)을 파악해, 적절하게 진열 위치를 바꾸고, 팔릴 때 팔릴만한 재고를 유지할 수 있는가이다.
0	과제는,	_	_	O
1	기존의	_	_	O
2	상품진열에서,	_	_	O
3	단품별	_	_	O
4	입(발주	_	_	O
5	보충수.)	_	_	O
6	・출(판매수.)	_	_	O
7	・잔(재고수.)을	재고수.n	Amounting_to	B-Attribute
8	파악해,	_	_	O
9	적절하게	_	_	O
10	진열	_	_	O
11	위치를	_	_	O
12	바꾸고,	_	_	O
13	팔릴	_	_	O
14	때	_	_	O
15	팔릴만한	_	_	O
16	재고를	_	_	O
17	유지할	_	_	O
18	수	_	_	O
19	있는가이다.	_	_	O

#anno-id:11681
#text:과제는, 기존의 상품진열에서, 단품별 입(발주 보충수.) ・출(판매수.) ・잔(재고수.)을 파악해, 적절하게 진열 위치를 바꾸고, 팔릴 때 팔릴만한 재고를 유지할 수 있는가이다.
0	과제는,	_	_	O
1	기존의	_	_	O
2	상품진열에서,	_	_	O
3	단품별	_	_	O
4	입(발주	_	_	O
5	보충수.)	보충수.n	Store	B-Supply
6	・출(판매수.)	_	_	O
7	・잔(재고수.)을	_	_	O
8	파악해,	_	_	O
9	적절하게	_	_	O
10	진열	_	_	O
11	위치를	_	_	O
12	바꾸고,	_	_	O
13	팔릴	_	_	O
14	때	_	_	O
15	팔릴만한	_	_	O
16	재고를	_	_	O
17	유지할	_	_	O
18	수	_	_	O
19	있는가이다.	_	_	O

#anno-id:11684
#text:과제는, 기존의 상품진열에서, 단품별 입(발주 보충수.) ・출(판매수.) ・잔(재고수.)을 파악해, 적절하게 진열 위치를 바꾸고, 팔릴 때 팔릴만한 재고를 유지할 수 있는가이다.
0	과제는,	_	_	O
1	기존의	_	_	O
2	상품진열에서,	_	_	O
3	단품별	_	_	O
4	입(발주	_	_	O
5	보충수.)	_	_	O
6	・출(판매수.)	_	_	O
7	・잔(재고수.)을	_	_	O
8	파악해,	_	_	O
9	적절하게	적절하다.a	Suitability	O
10	진열	_	_	B-Evaluee
11	위치를	_	_	I-Evaluee
12	바꾸고,	_	_	I-Evaluee
13	팔릴	_	_	O
14	때	_	_	O
15	팔릴만한	_	_	O
16	재고를	_	_	O
17	유지할	_	_	O
18	수	_	_	O
19	있는가이다.	_	_	O

#anno-id:11696
#text:・문헌조사…도서관과 박물관 등에서, 필요한 책을 보고 조사한다.
0	・문헌조사…도서관과	_	_	O
1	박물관	_	_	B-Place
2	등에서,	_	_	I-Place
3	필요한	_	_	B-Phenomenon
4	책을	_	_	I-Phenomenon
5	보고	보다.v	Perception_active	O
6	조사한다.	_	_	O

#anno-id:11699
#text:내 앞에서는 욕설을 퍼붓지 않았지만, 동급생들은 두려워했다.
0	내	_	_	O
1	앞에서는	_	_	B-Circumstances
2	욕설을	_	_	I-Circumstances
3	퍼붓지	_	_	I-Circumstances
4	않았지만,	_	_	I-Circumstances
5	동급생들은	_	_	B-Experiencer
6	두려워했다.	두려워하다.v	Experiencer_focus	O

#anno-id:11707
#text:확실히 내 입으로 「댁의 문제는 이거라구요.
0	확실히	확실하다.a	Certainty	O
1	내	_	_	O
2	입으로	_	_	O
3	「댁의	_	_	O
4	문제는	_	_	O
5	이거라구요.	_	_	O

#anno-id:11711
#text:신선란이 점차 사라지고, 홍콩에서 들어오는 건조란이 늘어나면서, 대용품이 점차 점유율을 높이게 되었다.
0	신선란이	_	_	O
1	점차	_	_	O
2	사라지고,	_	_	O
3	홍콩에서	_	_	B-Item
4	들어오는	_	_	I-Item
5	건조란이	_	_	I-Item
6	늘어나면서,	늘어나다.v	Change_position_on_a_scale	O
7	대용품이	_	_	O
8	점차	_	_	O
9	점유율을	_	_	O
10	높이게	_	_	O
11	되었다.	_	_	O

#anno-id:11713
#text:신선란이 점차 사라지고, 홍콩에서 들어오는 건조란이 늘어나면서, 대용품이 점차 점유율을 높이게 되었다.
0	신선란이	_	_	O
1	점차	_	_	O
2	사라지고,	_	_	O
3	홍콩에서	_	_	B-Source
4	들어오는	들어오다.v	Arriving	O
5	건조란이	_	_	B-Theme
6	늘어나면서,	_	_	O
7	대용품이	_	_	O
8	점차	_	_	O
9	점유율을	_	_	O
10	높이게	_	_	O
11	되었다.	_	_	O

#anno-id:11719
#text:포터가, 짐에 끈으로 동여맨 덜마른 속옷을 나뭇가지 사이로 펄럭이며, 경사진 산등성이를 오른다.
0	포터가,	_	_	B-Theme
1	짐에	_	_	B-Depictive
2	끈으로	_	_	I-Depictive
3	동여맨	_	_	I-Depictive
4	덜마른	_	_	I-Depictive
5	속옷을	_	_	I-Depictive
6	나뭇가지	_	_	I-Depictive
7	사이로	_	_	I-Depictive
8	펄럭이며,	_	_	I-Depictive
9	경사진	_	_	B-Path
10	산등성이를	_	_	I-Path
11	오른다.	오르다.v	Motion	O

#anno-id:11720
#text:하지만, 미지의 부분이 매우 많아, 어떻게 될지 모른다는 부분이 많다.
0	하지만,	_	_	O
1	미지의	_	_	O
2	부분이	_	_	O
3	매우	_	_	O
4	많아,	_	_	O
5	어떻게	_	_	B-Collection
6	될지	_	_	I-Collection
7	모른다는	_	_	I-Collection
8	부분이	_	_	I-Collection
9	많다.	많다.a	Abounding_with	O

#anno-id:11724
#text:「아멘! 」그렇게 말하자, 말은 멈췄습니다.
0	「아멘!	_	_	O
1	」그렇게	_	_	O
2	말하자,	_	_	O
3	말은	_	_	B-Theme
4	멈췄습니다.	멈추다.v	Halt	O

#anno-id:11725
#text:서둘러 유리가 있는 곳으로 갔다.
0	서둘러	_	_	B-Speed
1	유리가	_	_	B-Goal
2	있는	_	_	I-Goal
3	곳으로	_	_	I-Goal
4	갔다.	가다.v	Motion	O

#anno-id:11726
#text:그렇지만 운명의 여신은 나를 저버리지 않았다.
0	그렇지만	_	_	O
1	운명의	_	_	B-Agent
2	여신은	_	_	I-Agent
3	나를	_	_	B-Theme
4	저버리지	저버리다.v	Abandonment	O
5	않았다.	_	_	O

#anno-id:11727
#text:그렇지만 운명의 여신은 나를 저버리지 않았다.
0	그렇지만	_	_	O
1	운명의	운명.n	Destiny	O
2	여신은	_	_	O
3	나를	_	_	O
4	저버리지	_	_	O
5	않았다.	_	_	O

#anno-id:11738
#text:그때 가위눌리는 상태가 되는 것입니다.
0	그때	_	_	B-Time
1	가위눌리는	_	_	B-Final_state
2	상태가	_	_	I-Final_state
3	되는	되다.a	Becoming	O
4	것입니다.	_	_	O

#anno-id:11740
#text:「엄청난 일이 벌어졌군요」센고쿠의 목소리는 겁에 질려 있었다.
0	「엄청난	_	_	O
1	일이	_	_	O
2	벌어졌군요」센고쿠의	_	_	B-Experiencer
3	목소리는	_	_	O
4	겁에	질리다.v	Experiencer_focus	O
5	질려	질리다.v	Experiencer_focus	O
6	있었다.	_	_	O

#anno-id:11752
#text:자기 회사가 어떤 산업 분야에서 세계를 상대로 이길 수 있을지를 정확히 꿰뚫어보고, 모든 자원을 동원하여 제대로 된 산업 기술을 창출하여, 전 세계적인 판매・관리망을 구축하도록 손을 쓴 곳만이 살아남을 수 있다는 것이다.
0	자기	_	_	O
1	회사가	_	_	O
2	어떤	_	_	O
3	산업	_	_	O
4	분야에서	_	_	O
5	세계를	_	_	O
6	상대로	_	_	O
7	이길	_	_	O
8	수	_	_	O
9	있을지를	_	_	O
10	정확히	_	_	O
11	꿰뚫어보고,	_	_	O
12	모든	_	_	O
13	자원을	_	_	O
14	동원하여	_	_	O
15	제대로	_	_	B-Artifact
16	된	_	_	I-Artifact
17	산업	_	_	I-Artifact
18	기술을	기술.n	Artifact	I-Artifact
19	창출하여,	_	_	O
20	전	_	_	O
21	세계적인	_	_	O
22	판매・관리망을	_	_	O
23	구축하도록	_	_	O
24	손을	_	_	O
25	쓴	_	_	O
26	곳만이	_	_	O
27	살아남을	_	_	O
28	수	_	_	O
29	있다는	_	_	O
30	것이다.	_	_	O

#anno-id:11758
#text:자기 회사가 어떤 산업 분야에서 세계를 상대로 이길 수 있을지를 정확히 꿰뚫어보고, 모든 자원을 동원하여 제대로 된 산업 기술을 창출하여, 전 세계적인 판매・관리망을 구축하도록 손을 쓴 곳만이 살아남을 수 있다는 것이다.
0	자기	_	_	B-Phenomenon
1	회사가	_	_	I-Phenomenon
2	어떤	_	_	I-Phenomenon
3	산업	_	_	I-Phenomenon
4	분야에서	_	_	I-Phenomenon
5	세계를	_	_	I-Phenomenon
6	상대로	_	_	I-Phenomenon
7	이길	_	_	I-Phenomenon
8	수	_	_	I-Phenomenon
9	있을지를	_	_	I-Phenomenon
10	정확히	_	_	B-Manner
11	꿰뚫어보고,	꿰뚫다.v	Grasp	O
12	모든	_	_	O
13	자원을	_	_	O
14	동원하여	_	_	O
15	제대로	_	_	O
16	된	_	_	O
17	산업	_	_	O
18	기술을	_	_	O
19	창출하여,	_	_	O
20	전	_	_	O
21	세계적인	_	_	O
22	판매・관리망을	_	_	O
23	구축하도록	_	_	O
24	손을	_	_	O
25	쓴	_	_	O
26	곳만이	_	_	O
27	살아남을	_	_	O
28	수	_	_	O
29	있다는	_	_	O
30	것이다.	_	_	O

#anno-id:11760
#text:자기 회사가 어떤 산업 분야에서 세계를 상대로 이길 수 있을지를 정확히 꿰뚫어보고, 모든 자원을 동원하여 제대로 된 산업 기술을 창출하여, 전 세계적인 판매・관리망을 구축하도록 손을 쓴 곳만이 살아남을 수 있다는 것이다.
0	자기	_	_	B-Agent
1	회사가	_	_	I-Agent
2	어떤	_	_	B-Purpose
3	산업	_	_	I-Purpose
4	분야에서	_	_	I-Purpose
5	세계를	_	_	I-Purpose
6	상대로	_	_	I-Purpose
7	이길	_	_	I-Purpose
8	수	_	_	I-Purpose
9	있을지를	_	_	I-Purpose
10	정확히	_	_	I-Purpose
11	꿰뚫어보고,	_	_	I-Purpose
12	모든	_	_	B-Instrument
13	자원을	_	_	I-Instrument
14	동원하여	동원하다.v	Using	O
15	제대로	_	_	O
16	된	_	_	O
17	산업	_	_	O
18	기술을	_	_	O
19	창출하여,	_	_	O
20	전	_	_	O
21	세계적인	_	_	O
22	판매・관리망을	_	_	O
23	구축하도록	_	_	O
24	손을	_	_	O
25	쓴	_	_	O
26	곳만이	_	_	O
27	살아남을	_	_	O
28	수	_	_	O
29	있다는	_	_	O
30	것이다.	_	_	O

#anno-id:11772
#text:숏펭슈테햐 씨도, 물씬 냄새가 났다.
0	숏펭슈테햐	_	_	B-Phenomenon
1	씨도,	_	_	I-Phenomenon
2	물씬	_	_	B-Manner
3	냄새가	냄새나다.v	Perception_experience	O
4	났다.	냄새나다.v	Perception_experience	O

#anno-id:11774
#text:내 특허권을 침해하는 것이 되지 않습니까?
0	내	_	_	O
1	특허권을	_	_	B-Norm
2	침해하는	침해하다.v	Compliance	O
3	것이	_	_	O
4	되지	_	_	O
5	않습니까?	_	_	O

#anno-id:11776
#text:「미안해요」 매서운 바람이 부는 날씨로 인해, 주스케는 코끝을 붉히고 있었다.
0	「미안해요」	_	_	O
1	매서운	_	_	B-Cause
2	바람이	_	_	I-Cause
3	부는	_	_	I-Cause
4	날씨로	_	_	I-Cause
5	인해,	_	_	I-Cause
6	주스케는	_	_	O
7	코끝을	_	_	B-Entity
8	붉히고	붉히다.v	Color	O
9	있었다.	_	_	O

#anno-id:11783
#text:구도는, 기죽지 않았다.
0	구도는,	_	_	B-Experiencer
1	기죽지	기죽다.v	Experiencer_focus	O
2	않았다.	_	_	O

#anno-id:11785
#text:●계획의 예1 세계 스포츠 관전 투어 2 맛집 탐방 여행 3 세계의 민속의상을 조사하는 여행 4 해외 일본인 학교를 탐방해 보자 5 세계의 미술관 탐방 6 야생동물 사파리 투어 7 세계의 문학산책 투어 8 세계 유산을 둘러보는 여행.
0	●계획의	_	_	O
1	예1	_	_	O
2	세계	_	_	O
3	스포츠	_	_	O
4	관전	_	_	O
5	투어	_	_	O
6	2	_	_	O
7	맛집	_	_	O
8	탐방	_	_	O
9	여행	_	_	O
10	3	_	_	O
11	세계의	_	_	O
12	민속의상을	_	_	O
13	조사하는	_	_	O
14	여행	_	_	O
15	4	_	_	O
16	해외	_	_	O
17	일본인	_	_	O
18	학교를	_	_	O
19	탐방해	_	_	O
20	보자	_	_	O
21	5	_	_	O
22	세계의	_	_	O
23	미술관	_	_	O
24	탐방	_	_	O
25	6	_	_	O
26	야생동물	_	_	O
27	사파리	_	_	O
28	투어	_	_	O
29	7	_	_	O
30	세계의	_	_	O
31	문학산책	_	_	O
32	투어	_	_	O
33	8	_	_	O
34	세계	_	_	B-Phenomenon
35	유산을	_	_	I-Phenomenon
36	둘러보는	둘러보다.v	Perception_active	O
37	여행.	_	_	O

#anno-id:11791
#text:미무라는 새 거처를 구하면서 한 번도 그녀를 동반하지 않았다.
0	미무라는	_	_	B-Theme
1	새	_	_	B-Purpose
2	거처를	_	_	I-Purpose
3	구하면서	_	_	I-Purpose
4	한	_	_	O
5	번도	_	_	O
6	그녀를	_	_	B-Cotheme
7	동반하지	동반하다.v	Cotheme	O
8	않았다.	_	_	O

#anno-id:11794
#text:하지만 나카타의 유소년기를 아는 사람이 본다면, 그것은 일본 사회가 에도에서 메이지로 바뀐 것만큼이나 커다란 변화였다.
0	하지만	_	_	O
1	나카타의	_	_	O
2	유소년기를	_	_	O
3	아는	_	_	O
4	사람이	_	_	O
5	본다면,	_	_	O
6	그것은	_	_	O
7	일본	_	_	B-Degree
8	사회가	_	_	I-Degree
9	에도에서	_	_	I-Degree
10	메이지로	_	_	I-Degree
11	바뀐	_	_	I-Degree
12	것만큼이나	_	_	I-Degree
13	커다란	커다랗다.a	Size	O
14	변화였다.	_	_	B-Entity

#anno-id:11796
#text:하지만 나카타의 유소년기를 아는 사람이 본다면, 그것은 일본 사회가 에도에서 메이지로 바뀐 것만큼이나 커다란 변화였다.
0	하지만	_	_	O
1	나카타의	_	_	B-Duration
2	유소년기를	유소년.n	Timespan	I-Duration
3	아는	_	_	O
4	사람이	_	_	O
5	본다면,	_	_	O
6	그것은	_	_	O
7	일본	_	_	O
8	사회가	_	_	O
9	에도에서	_	_	O
10	메이지로	_	_	O
11	바뀐	_	_	O
12	것만큼이나	_	_	O
13	커다란	_	_	O
14	변화였다.	_	_	O

#anno-id:11800
#text:그것이 「산여부형고명, 기하즉부산포야」라고 쓰이면서 부산이 되었다고 한다.
0	그것이	_	_	B-Entity
1	「산여부형고명,	_	_	B-Cause
2	기하즉부산포야」라고	_	_	I-Cause
3	쓰이면서	_	_	I-Cause
4	부산이	_	_	B-Final_category
5	되었다고	되다.a	Becoming	O
6	한다.	_	_	O

#anno-id:11801
#text:그리고 그 고산은 적어도 최근까지, 동경 등의 옥상에 해당하는, 노비지방의 방언이었던 것이다.
0	그리고	_	_	O
1	그	_	_	O
2	고산은	_	_	O
3	적어도	_	_	O
4	최근까지,	_	_	O
5	동경	_	_	O
6	등의	_	_	O
7	옥상에	_	_	O
8	해당하는,	_	_	O
9	노비지방의	지방.n	Locale	B-Name
10	방언이었던	_	_	O
11	것이다.	_	_	O

